@T,climate,,,,,,,,,,,,,
description,Synchronized storm breakpoint data,,,,,,,,,,,,,
missing_value,-9999,,,,,,,,,,,,,
date_format,uuuu-MM-dd HH:mm:ss,,,,,,,,,,,,,
date_start,1/2/2021 16:00,,,,,,,,,,,,,
date_end,12/31/2022 16:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,time,B_BenCulv,B_OldFlowers,B_SaltCabin,B_ME,B_MM,B_MW,B_UE,MRMS_17,MRMS_18,MRMS_41,MRMS_44,MRMS_73,MRMS_8
,1/21/2021 1:00,0,0,0,0,0,0,0,0,0,0.049741658,0,0.439561143,0
,1/21/2021 19:00,0,0,0,0,0,0,0,0,0.008466669,0.043744446,0.040922227,0.036688891,0.03951112
,1/21/2021 20:00,0,0,0,0,0,0,0,0,0,0.022577777,0.022577783,0.194733332,0
,1/21/2021 21:00,0,0,0,0,0,0,0,0,0.013758331,0.045155559,0.052563894,0.199554653,0
,1/21/2021 22:00,0,0,0,0,0,0,0,0.049388892,0.03704166,0.045155552,0.058913888,0.485892652,0.021166663
,1/21/2021 23:00,0,0,0,0,0,0,0,0,0,0,0,0.01799167,0
,1/22/2021 1:00,0,0,0,0,0,0,0,0,0,0.035277778,0,0.105480564,0
,1/22/2021 2:00,0,0,0,0,0,0,0,0,0,0,0,0.056797227,0
,1/22/2021 3:00,0,0,0,0,0,0,0,0.029986111,0.029986111,0.046213893,0.036688891,0.313266697,0
,1/22/2021 4:00,0,0,0,0,0,0,0,0.005291667,0.005291667,0.131586125,0.029633335,0.332316694,0
,1/22/2021 5:00,0,0,0,0,0,0,0,0,0,0.119944474,0,0.398638937,0
,1/22/2021 6:00,0,0,0,0,0,0,0,0,0,0.021166663,0,0,0
,1/22/2021 12:00,0,0,0,0,0,0,0,0,0,0,0,0.017991664,0
,1/22/2021 13:00,0,0,0,0,0,0,0,0,0,0,0,0.003174999,0
,1/22/2021 14:00,0,0,0,0,0,0,0,0.028222229,0,0,0.025399995,0.131233346,0
,1/22/2021 15:00,0,0,0,0,0,0,0,0.01693333,0,0.047977779,0.117475007,0.160866695,0
,1/22/2021 16:00,0,0,0,0,0,0,0,0.252588928,0.197555566,0.304800025,0.185913899,0.385115764,0.19755557
,1/22/2021 17:00,0,0,0,0,0,0,0,0,0,0,0,0.045273151,0
,1/23/2021 0:00,0,0,0,0,0,0,0,0,0,0,0,0.127000013,0
,1/23/2021 7:00,0,0,0,0,0,0,0,0.093486102,0.06385278,0.207786115,0.157338901,0.549275022,0.065263895
,1/23/2021 8:00,0,0,0,0,0,0,0,0.119591671,0.071613885,0.219780553,0.09442685,0.529166709,0.054680563
,1/23/2021 9:00,0,0,0,0,0,0,0,0.19191112,0.150988903,0.347133367,0.14898983,0.583847229,0.145344458
,1/23/2021 10:00,0,0,0,0,0,0,0,0,0,0.012699998,0.013758331,0.077611105,0
,1/23/2021 11:00,0,0,0,0,0,0,0,0.033866661,0.028222229,0.040922227,0.003174999,0,0.026811115
,1/23/2021 12:00,0,0,0,0,0,0,0,0.035277778,0.01975556,0.103011117,0.045155566,0.187677788,0.025400003
,1/23/2021 13:00,0,0,0,0,0,0,0,0.150988897,0.161572234,0.269875037,0.347838902,0.630061146,0.180622229
,1/23/2021 14:00,0,0,0,0,0,0,0,0.012699998,0.010583332,0.150636131,0.051505559,0.393347246,0.008466665
,1/23/2021 15:00,0,0,0,0,0,0,0,0.04092222,0.042333336,0.107950013,0,0.245180583,0.026811109
,1/23/2021 16:00,0,0,0,0,0,0,0,0,0.005644443,0.057855562,0.0635,0.234244467,0.003527779
,1/23/2021 17:00,0,0,0,0,0,0,0,0.36618337,0.375002824,0.528461134,0.265994473,0.668866701,0.31256113
,1/23/2021 18:00,0,0,0,0,0,0,0,0.456141682,0.341488907,0.581730603,0.19967225,0.69285559,0.46778336
,1/23/2021 19:00,0,0,0,0,0,0,0,0.338313915,0.265288917,0.470252812,0.342547259,0.745772238,0.185913911
,1/23/2021 20:00,0,0,0,0,0,0,0,0.20461112,0.147813913,0.21731112,0.055386116,0.255411136,0.159102794
,1/25/2021 11:00,0,0,0,0,0,0,0,0.1143,0.039511112,0.030691661,0.098072222,0.077963902,0.11288889
,1/25/2021 12:00,0,0,0,0,0,0,0,0.207433344,0.167569466,0.270580578,0.344311139,0.497769445,0.190147228
,1/25/2021 13:00,0,0,0,0,0,0,0,0.25823336,0.248708355,0.231775012,0.273050029,0.556683386,0.209197228
,1/25/2021 14:00,0,0,0,0,0,0,0,0.120297233,0.120297227,0.080786121,0.139700016,0.363008355,0.063500015
,1/25/2021 15:00,0,0,0,0,0,0,0,0.022225004,0.040569441,0,0,0.197908348,0.043744455
,1/25/2021 17:00,0,0,0,0,0,0,0,0.001763889,0,0,0,0,0
,1/25/2021 18:00,0,0,0,0,0,0,0,0.034925005,0.091722226,0.029633334,0,0,0.090311101
,1/25/2021 19:00,0,0,0,0,0,0,0,0.016933331,0,0.015522226,0,0,0
,1/26/2021 13:00,0,0,0,0,0,0,0,0.051858324,0.080080553,0.125236113,0.030691661,0.127470373,0.087136119
,1/26/2021 14:00,0,0,0,0,0,0,0,0.007408332,0.049741658,0.094897216,0.007408332,0.267640744,0.113241654
,1/26/2021 15:00,0,0,0,0,0,0,0,0,0,0.005291667,0,0.20178891,0.001058333
,1/26/2021 16:00,0,0,0,0,0,0,0,0,0,0.074788888,0,0.214488908,0.062441656
,1/26/2021 17:00,0,0,0,0,0,0,0,0,0,0.037394438,0,0,0
,1/26/2021 18:00,0,0,0,0,0,0,0,0,0,0.016580553,0,0,0
,1/26/2021 22:00,0,0,0,0,0,0,0,0,0,0.056444441,0,0,0
,1/29/2021 6:00,0,0,0,0,0,0,0,0,0,0,0,0.149930556,0
,1/29/2021 7:00,0,0,0,0,0,0,0,0,0,0,0,0.026458333,0
,1/30/2021 13:00,0,0,0,0,0,0,0,0,0,0,0,0.118533324,0
,1/30/2021 14:00,0,0,0,0,0,0,0,0,0,0.035277778,0,0.311855581,0
,1/30/2021 15:00,0,0,0,0,0,0,0,0,0,0.049388893,0,0,0
,1/30/2021 16:00,0,0,0,0,0,0,0,0,0,0.021166663,0,0.10160001,0
,1/30/2021 17:00,0,0,0,0,0,0,0,0,0,0.021166663,0,0,0
,1/30/2021 23:00,0,0,0,0,0,0,0,0,0,0,0,0.268111125,0
,2/3/2021 9:00,0,0,0,0,0,0,0,0,0,0,0.057855551,0,0
,2/3/2021 10:00,0,0,0,0,0,0,0,0.12558889,0.056444458,0.213077787,0.204611107,0.047977783,0.05644444
,2/3/2021 11:00,0,0,0,0,0,0,0,0,0,0,0.035277783,0,0
,2/3/2021 12:00,0,0,0,0,0,0,0,0.077963896,0.04480278,0.110419459,0.084666666,0,0.036688887
,2/3/2021 13:00,0,0,0,0,0,0,0,0.022225004,0.014463891,0.033513889,0.01693333,0,0.016933337
,2/3/2021 14:00,0,0,0,0,0,0,0,0.118886115,0.143227782,0.163688901,0.266700023,0.196850007,0.133350003
,2/3/2021 15:00,0,0,0,0,0,0,0,0.612775022,0.55245004,0.533399997,0.814916707,1.087966694,0.559505581
,2/3/2021 16:00,0,0,0,0,0,0,0,0.6371167,0.617713901,0.53798614,0.487538911,1.084791701,0.657577797
,2/3/2021 17:00,0,0,0,0,0,0,0,0.321380573,0.259997218,0.399697262,0.125941676,1.087966719,0.256469455
