@T,temporal_additional,,,,,,,,,,,,,,,,,,,,,,,,
name,temporal_additional.csv,,,,,,,,,,,,,,,,,,,,,,,,
description,additional temporal parameters,,,,,,,,,,,,,,,,,,,,,,,,
context-type,temporal,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
unit,m3/s,,,,,,,,,,,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,,,,,,,,,,,,
date_start,1/2/2021 0:00,,,,,,,,,,,,,,,,,,,,,,,,
date_end,12/31/2022 0:00,,,,,,,,,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
@H,date,enableSubDaily,B_ME,B_MM,B_MW,B_UE,B_UW,MRMS_12,MRMS_13,MRMS_17,MRMS_18,,MRMS_11,,MRMS_16,,,MRMS_19,MRMS_21,MRMS_22,MRMS_23,MRMS_27,MRMS_28,MRMS_32,MRMS_33
,8/19/2021 17:00,,0,0,0,0,0,0.032102777,0.034219445,0.034572224,0.037041664,,0.014816667,,0.004233334,,,0.073377787,0.019050003,0.038099998,0.038099998,0.039511108,0.048683333,0.034219444,0.037394444
,8/19/2021 20:00,,0.1,0,0,0,0,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0
,8/19/2021 21:00,,0.2,0,0,0,0,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0
,8/20/2021 0:00,,1.2,0,0,0,0.9,0.56091669,0.666044464,0.727427805,0.684036126,,0.617361146,,0.696736123,,,0.669219468,0.79692501,0.851958351,0.72248893,0.854780584,0.808566711,0.913694471,0.850194465
,8/20/2021 1:00,,0,0,0,0,0,0.154516674,0.138288893,0.082550009,0.132997232,,0.089605563,,0.087841677,,,0.157691676,0.162630565,0.073730557,0.071966667,0.073730557,0.08466667,0.123472229,0.09807223
,8/20/2021 13:00,,0,0,0.3,0,0,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0
,8/21/2021 13:00,,0,0,0,0,0,0.022224996,0.027516665,0.02398889,0.030338884,,0.045155562,,0.049741675,,,0,0.081138895,0.025400003,0.021166663,0.025400003,0.028222229,0.02398889,0.02398889
,8/21/2021 14:00,,0,0,0,0,0.3,0.145697227,0.199672233,0.158044455,0.208138904,,0.159455564,,0.156280569,,,0.330200015,0.376061134,0.118533342,0.162277791,0.118533342,0.142522227,0.111477786,0.111477786
,8/22/2021 0:00,,0,0,0,0,0,0.050800005,0.056444445,0.135466665,0.055033335,,0.088900002,,0.056444444,,,0,0.064911116,0.142522227,0.134055555,0.142522227,0.091722223,0.132644439,0.101600011
,8/22/2021 6:00,,0,0,0,0,0,0,0,0,0,,0,,0,,,0.02257778,0,0,0,0,0.033866668,0.057855561,0.049388889
