# hrus.csv created Fri, 16 Jun 2023, 18:14:47 called by HRU-delin
@T,hrus,
name,hrus.csv,
descr,hrus input parameter file,
,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,subcatch,
min,0,-180,-90,0,0,0,0,0,0,0,0,0,0,
max,9999,180,90,10000,9999999999,3,90,360,999999,9999,9999,9999,99999,
unit,n/a,longitude,latitude,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,n/a,
,178,-105.59470086,40.65649543,2719,110100,1,16.148,0,0,1,3,0,16,,
,179,-105.62831391,40.65721192,2867,81400,1,14.837,-29,0,0,2,0,19,,
,180,-105.54770954,40.65899101,2407,32400,1,23.217,291,0,0,1,0,12,,
,181,-105.57807408,40.65863096,2545,30400,1,13.091,113,0,1,3,0,16,,
,182,-105.55775007,40.65505581,2527,333300,1,13.951,65,0,0,3,0,18,,
,183,-105.6281585,40.65925941,2846,40200,1,14.919,45,0,0,2,0,13,,
,184,-105.56168137,40.65888978,2490,40700,1,17.521,98,0,0,3,0,23,,
,185,-105.55862815,40.65853598,2484,54600,1,10.533,84,0,0,3,0,14,,
,186,-105.60370349,40.65741706,2800,89600,1,4.863,0,0,0,3,0,10,,
,187,-105.58278732,40.65868848,2576,99900,1,13.176,305,0,1,3,0,16,,
,188,-105.55223735,40.6581009,2440,26300,1,16.262,90,0,0,3,0,18,,
,189,-105.54177515,40.65907181,2384,41100,1,8.21,267,0,0,2,0,12,,
,190,-105.63014788,40.65827522,2871,24100,1,12.307,111,0,0,1,0,13,,
,191,-105.53795503,40.65791761,2384,39800,1,16.214,268,0,0,2,0,11,,
,192,-105.5442791,40.65805644,2396,38700,1,14.027,63,0,0,2,0,12,,
,193,-105.52798508,40.65690553,2401,29800,1,22.527,-31,0,0,2,0,22,,
,194,-105.64722984,40.6568428,3061,54600,1,14.522,-1,0,0,3,0,13,,
,195,-105.60688216,40.65744363,2818,42000,1,5.679,0,0,0,2,0,10,,
,196,-105.59898067,40.65846974,2758,20600,1,7.774,-13,0,1,4,0,10,,
,197,-105.57401723,40.65804269,2532,108600,1,8.09,-21,0,1,3,0,15,,
,198,-105.54852501,40.65812482,2417,49900,1,19.59,57,0,0,2,0,12,,
,199,-105.63377544,40.65760214,2879,30400,1,10.473,-33,0,0,1,0,13,,
,200,-105.59782165,40.65582385,2777,69900,1,13.385,-9,0,0,2,0,16,,
