ID,X,Y
204,-105.59980005,40.6573456
205,-105.58229804,40.65778796
206,-105.5676423,40.65802077
207,-105.56163638,40.65658033
208,-105.57155521,40.65774044
209,-105.58038787,40.65720375
210,-105.52488852,40.65686324
211,-105.5638967,40.65627063
212,-105.63248482,40.65724008
213,-105.59061444,40.6572772
214,-105.55748473,40.65686685
215,-105.54575498,40.65641319
216,-105.5392392,40.65706776
217,-105.54426651,40.65743767
218,-105.5324549,40.65660523
219,-105.63155452,40.65667314
220,-105.61622158,40.65454357
221,-105.58543666,40.65630058
222,-105.56872185,40.65692723
223,-105.53468648,40.65683031
224,-105.52246766,40.65714693
225,-105.64216224,40.65410819
226,-105.57529599,40.65604765
227,-105.5517395,40.65357991
228,-105.53843206,40.65600389
229,-105.6359273,40.65606376
230,-105.59432527,40.65374607
231,-105.60696697,40.65480463
232,-105.58011939,40.65643666
233,-105.5272329,40.6557413
234,-105.56931148,40.65550188
235,-105.53162269,40.65817069
236,-105.6315524,40.65522653
237,-105.60165554,40.65589066
238,-105.63488653,40.65438302
239,-105.58107931,40.65479673
240,-105.53089052,40.65547056
241,-105.62652196,40.6561787
242,-105.52350899,40.65504745
243,-105.52194016,40.65328563
244,-105.63149799,40.65124948
245,-105.53493156,40.6547649
246,-105.54144328,40.65485847
247,-105.6012303,40.65490295
248,-105.57580764,40.65427857
249,-105.55398661,40.65588915
250,-105.54611744,40.65543311
251,-105.53917063,40.65382606
252,-105.64382737,40.65414112
253,-105.58728484,40.65510041
254,-105.5850662,40.653642
255,-105.53131677,40.65446936
256,-105.52580565,40.65458636
257,-105.58201598,40.6547375
258,-105.57595047,40.65498448
259,-105.56343755,40.6534328
260,-105.56721493,40.649657
261,-105.54368008,40.65376134
262,-105.60282615,40.65367052
263,-105.59942144,40.65380552
264,-105.54273818,40.65318478
265,-105.63463168,40.65330234
266,-105.63348297,40.65231592
267,-105.62726948,40.65496702
268,-105.52824001,40.65298969
269,-105.5149868,40.65246255
270,-105.57240132,40.653604
271,-105.57017793,40.65335327
272,-105.53037186,40.65370273
273,-105.65001584,40.65441125
274,-105.58876638,40.6538254
275,-105.59238769,40.65273105
276,-105.53692591,40.65149766
277,-105.53614463,40.65327281
278,-105.58251981,40.65299313
279,-105.60043086,40.65210076
280,-105.65306849,40.65165796
281,-105.51980232,40.65339079
282,-105.60727983,40.65282551
283,-105.57919787,40.65206576
284,-105.57688875,40.65292775
285,-105.52578718,40.65245435
286,-105.51653343,40.65317348
287,-105.54813065,40.65278966
288,-105.53192416,40.6511449
289,-105.60368463,40.65237021
290,-105.58767273,40.65109928
291,-105.58400709,40.65147225
292,-105.62319837,40.65269172
293,-105.61284657,40.65061181
294,-105.54821021,40.65211901
295,-105.64263938,40.65321416
296,-105.58723,40.64928487
297,-105.57404683,40.65187845
298,-105.57151496,40.6515469
299,-105.54473494,40.65158828
300,-105.59539484,40.64975693
301,-105.5776655,40.64988054
302,-105.51795326,40.6511537
303,-105.53370463,40.65208247
304,-105.52335209,40.65096172
305,-105.59228594,40.6516196
306,-105.53109731,40.64922064
307,-105.58093557,40.65114238
308,-105.55982661,40.65160758
309,-105.63888788,40.65066978
310,-105.60582571,40.65171133
311,-105.61839565,40.6511065
312,-105.52594787,40.65125216
313,-105.62766628,40.65134144
314,-105.528928,40.65030871
315,-105.55799878,40.65234146
316,-105.60392563,40.65085992
317,-105.52733311,40.65161371
318,-105.62012189,40.65007395
319,-105.60875113,40.65121141
320,-105.55648982,40.65042023
321,-105.53425764,40.65084725
322,-105.60760631,40.65028899
323,-105.55892898,40.65024117
324,-105.55239356,40.64989947
325,-105.60016422,40.6510125
326,-105.54095397,40.64859093
327,-105.59624606,40.6504774
328,-105.52319853,40.6480094
329,-105.5202553,40.64920555
330,-105.55423834,40.65057272
331,-105.5451227,40.65034202
332,-105.60268749,40.65001144
333,-105.58226709,40.6505253
334,-105.55406872,40.64881927
335,-105.55032465,40.64960761
336,-105.63869009,40.64770585
337,-105.55706188,40.64920589
338,-105.64848718,40.64909958
339,-105.61187265,40.64883034
340,-105.5260067,40.64938649
